"","X","hashtags","Freq","Count"
"483",483,"trumpliespeopledie",0.000983185662505034,5859
"484",484,"lockdownindia",0.000738857564773795,4403
"485",485,"salmankhan",0.000370519532823198,2208
"486",486,"trumpmadness",0.000608135320177205,3624
"487",487,"sparsh",0.00036682776211572,2186
"488",488,"twitter",0.000637837293596456,3801
"489",489,"deepstate",0.000533964290508793,3182
"490",490,"vegan",0.000364981876761981,2175
"491",491,"movementcontrolorder",0.000364142837964827,2170
"492",492,"stay",0.000587494965767217,3501
"493",493,"beactive",0.000362800375889381,2162
"494",494,"covid19canada",0.000753792455363136,4492
"495",495,"iot",0.000492180158410525,2933
"496",496,"homequarantine",0.000465163109142167,2772
"497",497,"tokyo",0.00060914216673379,3630
"498",498,"fda",0.000554772452678212,3306
"499",499,"21daysoflockdown",0.000355249026714995,2117
"500",500,"malaysiabebascovid19",0.000354242180158411,2111
"501",501,"reopenamerica",0.000511478050745066,3048
"502",502,"ageusia",0.000352899718082964,2103
"503",503,"losangeles",0.000599073701167942,3570
"504",504,"ramaphosa",0.000351725063766949,2096
"505",505,"worldhealthorganization",0.000488824003221909,2913
"506",506,"hawaii",0.000455430259095181,2714
"507",507,"italia",0.000541851255202041,3229
"508",508,"coronaviruslockdownuk",0.000682306349845617,4066
"509",509,"curfewke",0.000347026446502886,2068
"510",510,"funny",0.000614176399516714,3660
"511",511,"harveyweinstein",0.000347026446502886,2068
"512",512,"clemencynow",0.000344844945630286,2055
"513",513,"newyorkcity",0.000513827359377098,3062
"514",514,"tablighijamaat",0.000344509330111424,2053
"515",515,"hungary",0.000344341522351994,2052
"516",516,"god",0.000601087394281112,3582
"517",517,"whatsapp",0.000475231574708015,2832
"518",518,"getmeppe",0.000657470801449859,3918
"519",519,"mothersday",0.00034148879044167,2035
"520",520,"viruschino",0.000508289703315881,3029
"521",521,"mask",0.000642703718619949,3830
"522",522,"ahmedabad",0.000338803866290777,2019
"523",523,"citinewsroom",0.000337964827493623,2014
"524",524,"bangkok",0.000337797019734193,2013
"525",525,"canadians",0.000337797019734193,2013
"526",526,"brazil",0.000491508927372802,2929
"527",527,"dubai",0.000501241777419788,2987
"528",528,"belgium",0.000337125788696469,2009
"529",529,"readytoservethenation",0.000336957980937039,2008
